trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
146,False,"{'a': 0.5, 'e': 0.9895059058723947}",20,9,-120.32864172695687,"{0: 4, 1: 1, 2: 4, 3: 0, 4: 2}",1
147,False,"{'a': 0.5, 'e': 0.9893609187138546}",25,0,-165.09309494325012,"{0: 13, 1: 4, 2: 4, 3: 2, 4: 2}",0
148,False,"{'a': 0.5, 'e': 0.9892149421944781}",30,0,-185.3172032961533,"{0: 16, 1: 1, 2: 10, 3: 1, 4: 2}",0
149,False,"{'a': 0.5, 'e': 0.989067976460242}",25,0,-105.20566720052155,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
150,False,"{'a': 0.5, 'e': 0.9889200216581118}",35,0,-77.98188574921068,"{0: 26, 1: 2, 2: 6, 3: 0, 4: 1}",0
151,False,"{'a': 0.5, 'e': 0.9887710779360422}",20,6,-102.04077500547601,"{0: 6, 1: 1, 2: 5, 3: 1, 4: 1}",1
152,False,"{'a': 0.5, 'e': 0.9886211454429773}",20,0,-143.05137948892772,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
153,False,"{'a': 0.5, 'e': 0.9884702243288492}",25,0,-129.44083813901986,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 1}",0
154,False,"{'a': 0.5, 'e': 0.9883183147445792}",20,0,-100.77920486731287,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
155,False,"{'a': 0.5, 'e': 0.9881654168420767}",30,7,-115.3815510239262,"{0: 13, 1: 3, 2: 4, 3: 2, 4: 1}",1
156,False,"{'a': 0.5, 'e': 0.9880115307742399}",20,0,-126.6549144807275,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
157,False,"{'a': 0.5, 'e': 0.9878566566949545}",20,0,-79.11415051621783,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
158,False,"{'a': 0.5, 'e': 0.9877007947590948}",20,0,-138.52176417969815,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
159,False,"{'a': 0.5, 'e': 0.9875439451225226}",35,0,-123.63216222694521,"{0: 23, 1: 2, 2: 8, 3: 1, 4: 1}",0
160,False,"{'a': 0.5, 'e': 0.9873861079420876}",20,0,-150.95815313030505,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
161,False,"{'a': 0.5, 'e': 0.9872272833756269}",20,0,-131.17313174708033,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
162,False,"{'a': 0.5, 'e': 0.9870674715819652}",25,0,-177.09364477492093,"{0: 9, 1: 5, 2: 8, 3: 2, 4: 1}",0
163,False,"{'a': 0.5, 'e': 0.986906672720914}",25,0,-72.06865546554393,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
164,False,"{'a': 0.5, 'e': 0.9867448869532726}",20,0,-107.51224961381527,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
165,False,"{'a': 0.5, 'e': 0.9865821144408262}",30,13,-139.0319005118494,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 3}",1
166,False,"{'a': 0.5, 'e': 0.9864183553463477}",30,0,-104.72250525304153,"{0: 19, 1: 2, 2: 8, 3: 0, 4: 1}",0
167,False,"{'a': 0.5, 'e': 0.986253609833596}",30,0,-182.8612604396171,"{0: 17, 1: 2, 2: 7, 3: 2, 4: 2}",0
168,False,"{'a': 0.5, 'e': 0.9860878780673167}",25,0,-137.997958291401,"{0: 11, 1: 6, 2: 6, 3: 1, 4: 1}",0
169,False,"{'a': 0.5, 'e': 0.9859211602132415}",20,11,-78.89672250902314,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 2}",1
170,False,"{'a': 0.5, 'e': 0.9857534564380882}",20,13,-14.15483332944063,"{0: 4, 1: 2, 2: 1, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.9855847669095608}",20,0,-54.04937944748068,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
172,False,"{'a': 0.5, 'e': 0.9854150917963483}",20,0,-129.02840452350955,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
173,False,"{'a': 0.5, 'e': 0.9852444312681263}",30,0,-175.09094503157127,"{0: 17, 1: 2, 2: 8, 3: 1, 4: 2}",0
174,False,"{'a': 0.5, 'e': 0.9850727854955552}",25,0,-141.11581738766938,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
175,False,"{'a': 0.5, 'e': 0.9849001546502806}",20,0,-67.46863062120038,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
176,False,"{'a': 0.5, 'e': 0.9847265389049334}",20,0,-68.92771034896248,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
177,False,"{'a': 0.5, 'e': 0.9845519384331295}",20,0,-140.21688733466794,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
178,False,"{'a': 0.5, 'e': 0.984376353409469}",20,0,-65.73497974868816,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
179,False,"{'a': 0.5, 'e': 0.9841997840095373}",20,0,-150.8072938830496,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
180,False,"{'a': 0.5, 'e': 0.9840222304099036}",20,2,-80.40162348329723,"{0: 9, 1: 0, 2: 9, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.9838436927881214}",25,0,-213.07180773202205,"{0: 13, 1: 3, 2: 5, 3: 0, 4: 4}",0
